Transacao_ID;Cliente_Nome;Cliente_Email;Debito_Credito;Tipo_Transacao;Status;Tipo_Pagamento;Valor_Bruto;Valor_Desconto;Valor_Taxa;Valor_Liquido;Transportadora;Num_Envio;Data_Transacao;Data_Compensacao;Ref_Transacao;Parcelas;Codigo_Usuario;Codigo_Venda;Serial_Leitor;Recebimentos;Recebidos;Valor_Recebido;Valor_Tarifa_Intermediacao;Valor_Taxa_Intermediacao;Valor_Taxa_Parcelamento;Valor_Tarifa_Boleto;Bandeira_Cartao_Credito
8FDE2CDB-14F8-473C-B635-BBD191DD6ACD;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;10,3000;0,0000;0,2500;10,0500;;;30/10/2018 13:06:46;31/10/2018 00:00:00;;1;236115;813032;68918288;1;1;10,0500;0,0000;0,2500;0,0000;0,0000;;
1621310C-FF3B-4ADF-B18F-4ABF23104087;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;19,4600;0,0000;0,6200;18,8400;;;30/10/2018 13:02:44;29/11/2018 00:00:00;;1;236115;652339;68918288;1;0;0,0000;0,0000;0,6200;0,0000;0,0000;Visa;
8F7B0833-2BBD-4A71-B512-57480516E476;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;19,1000;0,0000;0,4600;18,6400;;;30/10/2018 12:05:50;31/10/2018 00:00:00;;1;236115;613020;68918288;1;1;18,6400;0,0000;0,4600;0,0000;0,0000;;
CDFD1DC3-0051-466A-B210-78E8F0A932AD;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;14,4800;0,0000;0,3500;14,1300;;;30/10/2018 11:39:57;31/10/2018 00:00:00;;1;236115;597172;68918288;1;1;14,1300;0,0000;0,3500;0,0000;0,0000;;
A1EF0484-77DA-4870-9A1E-6B1F866D4EA0;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;4,5200;0,0000;0,1100;4,4100;;;30/10/2018 11:15:09;31/10/2018 00:00:00;;1;236115;80673;68918288;1;1;4,4100;0,0000;0,1100;0,0000;0,0000;;
83CE6561-F761-4A9C-A39B-3856A5BEA2B8;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;19,9000;0,0000;0,4800;19,4200;;;30/10/2018 11:05:57;31/10/2018 00:00:00;;1;236115;247175;68918288;1;1;19,4200;0,0000;0,4800;0,0000;0,0000;;
2911DD79-5E4E-458B-9C0E-EA7681758737;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;39,7500;0,0000;1,2700;38,4800;;;30/10/2018 10:55:48;29/11/2018 00:00:00;;1;236115;735859;68918288;1;0;0,0000;0,0000;1,2700;0,0000;0,0000;MasterCard;
12E7DC9B-B440-4B12-966D-4A0262C85B8F;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;18,0000;0,0000;0,4300;17,5700;;;30/10/2018 10:49:45;31/10/2018 00:00:00;;1;236115;519288;68918288;1;1;17,5700;0,0000;0,4300;0,0000;0,0000;;
2ABFB2BE-58A1-4A52-8D3B-DC4ED79B8C68;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;41,6000;0,0000;0,9900;40,6100;;;30/10/2018 10:10:16;31/10/2018 00:00:00;;1;236115;887732;68918288;1;1;40,6100;0,0000;0,9900;0,0000;0,0000;;
A247FCC2-299E-4C1C-BF5D-5220759C0C59;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;40,8200;0,0000;0,9800;39,8400;;;30/10/2018 09:52:10;31/10/2018 00:00:00;;1;236115;45969;68918288;1;1;39,8400;0,0000;0,9800;0,0000;0,0000;;
9F4B4E18-1AAA-4873-8AC9-DBAAD2B30A1E;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;12,0300;0,0000;0,2900;11,7400;;;30/10/2018 09:41:10;31/10/2018 00:00:00;;1;236115;41734;68918288;1;1;11,7400;0,0000;0,2900;0,0000;0,0000;;
40C1D43B-E495-482E-B11A-F9DB70A941F6;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;5,8500;0,0000;0,1400;5,7100;;;30/10/2018 09:10:40;31/10/2018 00:00:00;;1;236115;333570;68918288;1;1;5,7100;0,0000;0,1400;0,0000;0,0000;;
0B660327-92AE-430D-861C-C755EA6121FB;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;11,5500;0,0000;0,2800;11,2700;;;30/10/2018 08:47:27;31/10/2018 00:00:00;;1;236115;856937;68918288;1;1;11,2700;0,0000;0,2800;0,0000;0,0000;;
10B6F5B5-DA46-4544-A79D-F4554C3B0B2C;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Crédito;6,8000;0,0000;0,2200;6,5800;;;30/10/2018 08:30:17;29/11/2018 00:00:00;;1;236115;852835;68918288;1;0;0,0000;0,0000;0,2200;0,0000;0,0000;MasterCard;
CA89C6D0-9254-4A35-B109-8D50C03C95D1;Venda pela Moderninha;;Crédito;Pagamento;Aprovada;Cartão de Débito;6,2500;0,0000;0,1500;6,1000;;;29/10/2018 19:24:02;30/10/2018 00:00:00;;1;236115;783661;68918288;1;1;6,1000;0,0000;0,1500;0,0000;0,0000;;
